Company,Industry,Type,Region,Fit,Angle,Signal
Musely,Health & Wellness,Medium,USA,8,PSP failover + retry en refills,160x crecimiento 6 años
MyFitnessPal,Health & Wellness,Enterprise,US/Global,8,Auth lift + churn recovery + IAP→web margin directly accretive to exit story,"Rev -5.7% to $310M; PE owner pivoting to growth, IPO/sale exit"
Needed,E-commerce & Retail,Medium,Los Angeles CA,8,Replenishment dunning + auth-rate,135 empleados 2026
Nerdy / Varsity Tutors,Education,Medium,St. Louis MO,8,Payouts tutor/expert + optimización sub billing,Q4'25 EBITDA+; consumer +6% YoY
Niantic (Scopely),Gaming,Enterprise,US/Global,8,"Maximize D2C shift w/ optimized global checkout, fraud controls, LPMs",PGO web stores live but huge volume still via app stores
Nium,Fintech & Crypto,Enterprise,US/Global,8,B2B cross-border payouts adding card-issuing: fits on collection/acceptance side + PSP redundancy,Circle/Coinbase stablecoin + dual-network card issuance; $50B+ volume
NZXT,Gaming,Enterprise,US/Global,8,Recurring Flex subs + sprawling card/BNPL stack + billing crisis: one orchestrated API w/ anti-fraud+dunning,$3.45M class-action (Sep'26) over 'Flex' rent-a-PC subscription
OSEA Malibu,E-commerce & Retail,Medium,Los Angeles CA,8,Replenishment dunning + LPMs intl,GA strategic growth (Sep'25)
Our Place,E-commerce & Retail,Medium,Los Angeles CA,8,Routing checkout + BNPL en cestas $150+,Liberty London + expansión retail 2025
Outdoorsy,Marketplace,Medium,Austin TX,8,Payouts cross-border + redundancia multi-PSP,"Mercados US+intl, high-ticket"
Overwolf,Gaming,Enterprise,US/Global,8,"Orchestrate auth, failover, unified LPMs, fraud across 4-rail stack (lead consolidation, not replacement)",CurseForge billing to Tebex (Aug'25); $300M+ creator payouts 4 rails
Palla,Fintech & Crypto,Medium,Miami FL,8,Payouts cross-border + LPMs en mercados receptores,$14.5M Serie A (May'25); 30+ FI
Papaya Gaming,Gaming,Enterprise,US/Global,8,Fraud/dispute orchestration + multi-PSP failover for global real-money platform under scrutiny,$420M verdict + $15M settlement; 17M+ downloads 5 continents
Parachute,E-commerce & Retail,Medium,Los Angeles CA,8,Routing + BNPL; dunning de cart-abandonment,Refoco en canal DTC 2024-25
Patreon,Creator & Social,Enterprise,US/Global,8,USD-only payouts = global-LPM gap; multi-PSP model solves + auth lift on recurring [warm contact],$179M rev 2025 +28%; $2B+/yr to creators; payouts USD-only
Peerspace,Marketplace,Medium,San Francisco CA,8,Orquestación payout host + auth-rate,Escalando vs Swimply/Giggster
Perelel,E-commerce & Retail,Medium,Los Angeles CA,8,Replenishment dunning + auth-rate; LPMs al expandir,$27M Prelude Growth (Nov'25)
Phlur,E-commerce & Retail,Medium,Austin TX,8,Auth-rate + redundancia PSP en demanda viral,DTC +100% 2025; adquirida por TSG
Pietra,Creator & Social,Medium,New York NY,8,Checkout global embebido + payout orchestration,Expansión más allá de creators
Plus500 (US),Fintech & Crypto,Enterprise,US/Global,8,One integration to lift deposit auth + failover + onboard per-ctry LPMs across new markets,Record deposits $1.8B Q1'26; US rev +45%; new licenses CA/UAE/JP
Pocket Gems,Gaming,Medium,Daly City CA,8,IAP→web store + auth lift,Monetización IAP continua
Poshmark,Marketplace,Enterprise,US/Global,8,"Mature US resale w/ millions of payouts + Naver global ambitions: auth lift, cost reduction, one rail",Naver-owned; cross-listing competitive pressure
PrizePicks,Gaming,Medium,Atlanta GA,8,Smart routing para auth depósitos + LPMs,60%+ YoY; Allwyn compró 62.3% (Ene'26)
Rebag,Marketplace,Medium,New York NY,8,Auth-rate high-ticket + rails payout seller,Serie E 2025; AI authentication
Reframe,Health & Wellness,Medium,USA,8,IAP→web; retry en renovaciones anuales,Superó 3M users 2025
Replit,SaaS,Enterprise,US/Global,8,Consumption agent credits to worldwide devs: routing recovers failed top-ups + local methods,$525M annualized (Apr'26); $400M Series D at $9B; usage-based agent credits
Reverb,Marketplace,Medium,Chicago IL,8,Payouts two-sided + LPMs cross-border,"Marketplace gear global, compradores intl"
Revolut US,Fintech & Crypto,Enterprise,US/Global,8,Scale US card-funded top-ups + new users: orchestrate multiple acquirers for auth + failover,Filed US bank charter (Mar'26); ex-Visa US CEO; $75B valuation
Ro,Health & Wellness,Medium,US/Global,8,High-AOV care subs tie failed-payment recovery directly to revenue + adherence,Retained Wegovy partnership (Jun'25); ~$370M GLP-1 rev
Royal Caribbean,Travel & Experiences,Enterprise,US/Global,8,Aggressive global capacity + new river/destination launches: optimize auth + LPMs,7 Icon-class mega-ships through 2030; Celebrity River Cruises
Ruggable,E-commerce & Retail,Medium,Los Angeles CA,8,BNPL + LPMs cross-border + auth-rate,"Escaló >$100M, crecimiento intl"
RVshare,Marketplace,Medium,Akron OH,8,Payouts owner + fraude en rentals de alto valor,Marketplace P2P RV grande
SciPlay / Light & Wonder,Gaming,Enterprise,US/Global,8,Social casino = high fraud exposure + growing web shop: anti-fraud orchestration + routing,D2C ~11% of rev growing; chip class-action payouts Mar'26
SeatGeek,Marketplace,Enterprise,US/Global,8,"IPO-prep window: PSP failover, lift auth, de-risk single-PSP before S-1",On 2026 IPO-watch lists; confidentially filed ~3yrs ago
Second Dinner,Gaming,Medium,Irvine CA,8,IAP→web store D2C + smart routing,Monetización IAP Marvel Snap sostenida
Sentry,SaaS,Medium,US/Global,8,PLG error-monitoring self-serve globally: renewal + overage auths = involuntary-churn fit,Hybrid tiered + usage-based overage w/ reserved capacity (2026)
SiriusXM / Pandora,Media & Streaming,Enterprise,US/Global,8,Dunning/retry + auth optimization to defend shrinking price-sensitive base,Double-digit profit growth Q1'26 on price hikes; satellite subs to 32.9M
Sitch,Creator & Social,Medium,New York NY,8,Sub billing + auth-rate al escalar dating pago,$5M seed; dating AI emergente 2025
Skool,Creator & Social,Medium,Austin TX,8,Smart routing + LPMs para billing comunidad,Adopción rápida creator-community 2025
SoFi,Fintech & Crypto,Enterprise,US/Global,8,Orchestrate high-auth card funding of crypto buys + cross-border on/off-ramp across acquirers,Launched SoFiUSD stablecoin to ~15M (May'26); tokenized deposits Q3'26
Solo Brands,E-commerce & Retail,Enterprise,US/Global,8,Multi-brand DTC into EU under cost pressure: orchestration cost reduction + LPM coverage,Next phase of European expansion; profitability-first rebuild
Strike,Fintech & Crypto,Medium,Chicago IL,8,Card-auth routing en buy-ins + LPMs corredores,Entró a crypto lending 2025
Supabase,SaaS,Medium,US/Global,8,"Open-source backend, self-serve usage Cloud, global devs: routing + failover",Crossed 1M databases; serverless-Postgres consolidation
Tastytrade,Fintech & Crypto,Enterprise,US/Global,8,Solving global funding friction but base on traditional rails: lift card-deposit auth + LPMs market-by-market,Launched instant stablecoin funding (Jul'25); hired intl-expansion lead
Theorycraft Games,Gaming,Medium,Los Angeles CA,8,Web store D2C para cosméticos + LPMs globales,Ramp lanzamiento Supervive 2025
Tia,Health & Wellness,Medium,New York NY,8,Billing membership recurrente + LPMs,Membership + virtual care escalando 2025
Titan,Fintech & Crypto,Medium,New York NY,8,Auth de depósitos + failover PSP,"Serie B (a16z, Gen Catalyst)"
Trade Coffee,E-commerce & Retail,Medium,New York NY,8,Payouts multi-roaster + routing subscripción; dunning,Adquirió Bean Box 2025
Twilio,SaaS,Enterprise,US/Global,8,High-volume usage billing + active billing-eng hiring + global base = orchestration + cost,Consolidated SendGrid/Segment (Feb'26); hiring Principal SWE Billing
Uphold,Fintech & Crypto,Medium,New York NY,8,Failover PSP + LPMs para funding cross-border,Push card/rewards 2025-26
Varo Bank,Fintech & Crypto,Medium,San Francisco CA,8,Auth de depósitos card-funded + on-ramp orchestration,Recaudó $124M 2025
Vegamour,E-commerce & Retail,Medium,Los Angeles CA,8,Dunning sub + card-updater en refills,GA $80M; Sephora 200+ doors
Vercel,SaaS,Enterprise,US/Global,8,v0 on usage credits + IPO horizon: orchestrate global collections + acquirer failover,$300M Series F at $9.3B; moved to credit billing Sep'25; IPO signals
Via Transportation,Mobility & Energy,Enterprise,US/Global,8,Fresh IPO capital for intl expansion: localize acceptance + PSP failover as it scales,"IPO'd NYSE Sep'25 (~$493M); 30+ ctys, ~30% rev outside NA"
Viator (Tripadvisor),Travel & Experiences,Enterprise,US/Global,8,Cross-border supplier-payout network + high volume: payout orchestration + auth routing on high-ticket,"Experiences $4.7B GBV +13%, 70k suppliers; spin-off planned"
Viking Holdings,Travel & Experiences,Enterprise,US/Global,8,Newly public premium line expanding to new geos (India): fresh cross-border LPM + auth needs,"FY25 rev $6.5B +22%, first public year; India river 2027-28"
Vivid Picks,Gaming,Medium,Chicago IL,8,Routing rails depósito + redundancia,Relanzó producto DFS
Webflow,SaaS,Enterprise,US/Global,8,Large global self-serve base; subscription renewals + credit auths = churn recovery + cross-border,Pricing overhaul + credit-based AI billing (May'26); $213M 2024 +66%
Wizards of the Coast,Gaming,Enterprise,US/Global,8,Fast-growing digital storefront w/ intl demand: LPM breadth + routing; consolidate + lift auth,WotC+Digital $2.2B +45% 2025; MTG Arena driving growth
YETI,E-commerce & Retail,Enterprise,US/Global,8,Accelerating intl mix: lift cross-border auth + add LPMs (esp. Japan) via orchestration,Intl sales +14% 2025 w/ new Japan entry + Europe/Australia growth
1GLOBAL,Telco & Connectivity,Enterprise,UK,8,Multi-country recurring billing + PSP redundancy,
888 / Evoke,Gaming,Enterprise,UK,8,LPM coverage + payout + PSP redundancy,
ACKO,Fintech & Crypto,Enterprise,India,8,"UPI + card routing, auth lift, mandate failover",
Air France-KLM,Travel & Experiences,Enterprise,France,8,LPM breadth + PSP failover multi-marca,
Allego,Mobility & Energy,Enterprise,Netherlands,8,"Auth-rate + smart routing per-session, 16 mercados",
Almosafer (Seera),Travel & Experiences,Enterprise,Saudi Arabia,8,mada/GCC rails + failover + multi-currency,
Amanotes,Gaming,Medium,Vietnam,8,Global LPMs + routing microtransacciones mundiales,
Bandai Namco,Gaming,Enterprise,Japan,8,Routing + LPM coverage D2C global,
Betsson,Gaming,Enterprise,Sweden,8,LPM + payout orchestration + failover/auth,
Betway,Gaming,Enterprise,Malta/Africa,8,Card-auth routing + acquirer failover deposits,
Bitexen,Fintech & Crypto,Medium,Turkey,8,LPM + card on-ramp routing TRY,
BitOasis,Fintech & Crypto,Medium,UAE,8,Card-auth routing para cortar decline + fee leakage,
Bitstamp,Fintech & Crypto,Enterprise,Luxembourg,8,Card-auth routing + redundancia EU acquirers,
Bluehost,SaaS,Enterprise,US,8,Recover failed renewals + global auth (hosting),
Bol.com,Marketplace,Enterprise,Netherlands,8,iDEAL/Bancontact + marketplace payouts + routing,
Boomplay,Media & Streaming,Enterprise,Nigeria,8,Mobile-money LPMs + retry para margen fino,
Brainly,Education,Enterprise,Poland/US,8,LatAm/Asia LPMs + cross-border decline recovery,
Buenbit,Fintech & Crypto,Medium,Argentina,8,LPM + card on-ramp routing 4 mercados,
Cabify,Mobility & Energy,Enterprise,Spain/LatAm,8,Routing + driver payout orchestration,
Calendly,SaaS,Enterprise,US,8,Dunning + smart routing en planes self-serve,
Careem,Mobility & Energy,Enterprise,UAE/MENA,8,MENA LPM + courier payouts + redundancia,
Casas Bahia,E-commerce & Retail,Enterprise,Brazil,8,Installment routing + marketplace payouts + auth,
Cathay Pacific,Travel & Experiences,Enterprise,Hong Kong,8,China LPM coverage + redundancia + auth routing,
CDKeys,Digital Products,Medium,UK,8,Auth optimization + fraud screening al checkout,
Century Games,Gaming,Enterprise,Singapore/China,8,Multi-region routing + LPMs + chargeback control,
CGTrader,Digital Products,Medium,Lithuania,8,Global LPMs + designer payout orchestration (3D),
Chipotle,Food & Delivery,Enterprise,US/Asia,8,New-market LPM + auth lift en lanzamiento intl,
Chuffed,Creator & Social,Medium,Australia,8,Smart routing + auth lift + multi-currency failover,
Clara,Fintech & Crypto,Medium,Mexico,8,Payment ops + PSP redundancy B2B,
Cleartrip,Travel & Experiences,Medium,India/ME,8,UPI/mada routing + redundancia India-GCC,
Coins.ph,Fintech & Crypto,Medium,Philippines,8,LPM + card on-ramp orchestration PH,
Com2uS,Gaming,Enterprise,Korea,8,Web-store billing + LPM coverage + chargeback,
Copa Airlines,Travel & Experiences,Enterprise,Panama,8,Local acquiring + installment LPMs LatAm,
Costa Cruises,Travel & Experiences,Enterprise,Italy,8,LPMs EU/APAC + failover booking engine,
Creative Fabrica,Digital Products,Medium,Netherlands,8,Dunning/retry en subs + designer payouts un API,
Cult.fit,Health & Wellness,Medium,India,8,Subscription routing + dunning + GCC expansion LPMs,
CVC Corp,Travel & Experiences,Enterprise,Brazil,8,Routing cross-border + installments + recovery,
CyberGhost VPN,SaaS,Medium,Romania,8,"Renewal retries + APMs locales, 100 países",
Descomplica,Education,Medium,Brazil,8,Subscriptions + dunning + installment routing,
DiDi (LatAm),Mobility & Energy,Enterprise,LatAm,8,Routing auth + driver payout orchestration,
DMarket,Digital Products,Medium,Ukraine/US,8,Fraude + payout rails para cash-out de virtual items,
Dott,Mobility & Energy,Enterprise,Netherlands,8,Lift auth + LPMs recover declined micro-txns,
Elementor,SaaS,Medium,Israel,8,Renewal retry + LPMs para cortar renewal churn,
Enthuse,Creator & Social,Medium,UK,8,Reduce failed recurring-donation churn + redundancia,
Floward,E-commerce & Retail,Medium,Saudi Arabia,8,GCC LPMs + cross-border routing + redundancia,
Foodpanda,Food & Delivery,Enterprise,APAC,8,APAC multi-country routing + LPM + payouts,
Gamivo,Digital Products,Medium,Malta,8,Routing + chargeback mitigation para keys,
Getsafe,Fintech & Crypto,Medium,Germany,8,Cut failed-payment churn + SEPA/card LPMs un API,
Good Job Games,Gaming,Medium,Turkey,8,Web-shop migration + routing para margen,
GoStudent,Education,Medium,Austria,8,Cut failed-payment churn + LPMs por mercado,
GoTo (Gojek),Mobility & Energy,Enterprise,Indonesia,8,Indonesia/SEA LPM redundancy + payouts,
Gousto,Food & Delivery,Medium,UK,8,Subscriptions/dunning + PSP redundancy,
Groww,Fintech & Crypto,Enterprise,India,8,"UPI + card deposit routing, optimization",
Homa Games,Gaming,Medium,France,8,Web-store billing + LPMs al volverse core IAP,
IAG (Iberia/BA/Vueling),Travel & Experiences,Enterprise,Spain/UK,8,Una capa entre marcas + LatAm LPMs,
Igloo,Fintech & Crypto,Medium,Singapore,8,e-wallet LPMs + routing rails SEA fragmentados,
IndiGo,Travel & Experiences,Enterprise,India,8,UPI/EMI + expansión LPM intl un API,
inDrive,Mobility & Energy,Enterprise,US/LatAm,8,Cashless routing + multi-country driver payouts,
IONITY,Mobility & Energy,Enterprise,Germany,8,Subscription dunning + LPMs + cross-border auth,
ixigo,Travel & Experiences,Medium,India,8,UPI/card routing + cost reduction + redundancia,
Jahez,Food & Delivery,Enterprise,Saudi Arabia,8,KSA LPM + courier payouts + cost reduction,
Jumeirah Group,Travel & Experiences,Enterprise,UAE,8,"GCC + inbound LPMs, multi-currency auth",
Jumia,Marketplace,Enterprise,Nigeria,8,African LPMs/mobile money + payout orchestration,
Kinepolis Group,Media & Streaming,Enterprise,Belgium,8,Un API multi-país + loyalty/sub dunning,
Kuku FM,Media & Streaming,Medium,India,8,UPI auth optimization + retry logic,
Lazada,Marketplace,Enterprise,Singapore,8,Un API SEA + seller payouts + LPMs,
Lemon,Fintech & Crypto,Medium,Argentina,8,Card on-ramp + LPM routing LatAm,
Lemon Cash,Fintech & Crypto,Medium,Argentina,8,On-ramp routing + card auth uplift,
Linode (Akamai),SaaS,Enterprise,US,8,Usage billing + failover (cloud dev),
Localiza,Travel & Experiences,Enterprise,Brazil,8,Pix/installment LPMs + auth routing inbound,
Loft,Marketplace,Enterprise,Brazil,8,Big-ticket auth + installment orchestration,
Loom,SaaS,Medium,US,8,Involuntary-churn recovery en planes mensuales,
Luckin Coffee,Food & Delivery,Enterprise,China/US,8,New-market PSP routing + app-payment LPM,
MadeiraMadeira,E-commerce & Retail,Enterprise,Brazil,8,Installment routing + seller payouts + auth,
Mandarin Oriental,Travel & Experiences,Enterprise,Hong Kong,8,Auth routing luxury high-ticket + APAC LPMs,
ManoMano,Marketplace,Enterprise,France,8,Cross-border LPMs + seller payouts + B2B billing,
Marley Spoon,Food & Delivery,Medium,Germany/AU/US,8,Subscriptions/dunning + multi-country LPM,
Mercado Bitcoin,Fintech & Crypto,Enterprise,Brazil,8,Pix/on-ramp redundancy + cost reduction,
Miro,SaaS,Enterprise,US/Netherlands,8,Auth-rate lift + cross-border cost en seat billing,
Monzo,Fintech & Crypto,Enterprise,UK,8,Card top-up routing + redundancia,
N26,Fintech & Crypto,Enterprise,Germany,8,Top-up auth routing + PSP failover,
Namshi,E-commerce & Retail,Medium,UAE,8,GCC LPMs + auth lift + COD-to-card conversion,
NCSoft,Gaming,Enterprise,Korea,8,Global LPM + PSP failover expansión occidental,
Noon,Food & Delivery,Enterprise,UAE,8,MENA LPM + multi-country redundancy,
NordPass,SaaS,Enterprise,Lithuania,8,Auth uplift + dunning en renovaciones,
OneFootball,Media & Streaming,Medium,Germany,8,Global LPM coverage + IAP→web,
Ounass (Al Tayer),E-commerce & Retail,Medium,UAE,8,Multi-currency routing + high-value auth,
Passline,Travel & Experiences,Medium,Argentina,8,"Pix, cash vouchers, local cards + auth un API",
Paysend,Fintech & Crypto,Enterprise,UK,8,Card-acceptance routing + acquirer redundancy global,
Pearl Abyss,Gaming,Enterprise,Korea,8,D2C store orchestration + global LPMs,
Piccoma (Kakao),Media & Streaming,Enterprise,Japan,8,IAP→web + JP LPM routing,
PicPay,Fintech & Crypto,Enterprise,Brazil,8,Card-auth lift + Pix/LPM orchestration,
Pintu,Fintech & Crypto,Medium,Indonesia,8,Add acquirers + LPMs IDR on-ramp,
Pipedrive,SaaS,Medium,Estonia,8,Cross-border auth + dunning (CRM SMB EU/LatAm),
Plarium,Gaming,Enterprise,Israel,8,Web-store routing + LPM coverage un API,
Platzi,Education,Medium,Colombia,8,Cross-border subscriptions + retry + LPM,
Playrix,Gaming,Enterprise,Ireland,8,Web-store migration + smart routing,
Plugsurfing,Mobility & Energy,Medium,Germany,8,Cross-border auth + LPMs + partner settlement,
Pond5,Digital Products,Medium,US,8,Consolidar payouts a contribuidores + checkout LPMs,
Posadas,Travel & Experiences,Enterprise,Mexico,8,Pix/SPEI/installment LPMs + auth inbound,
Qantas,Travel & Experiences,Enterprise,Australia,8,Multi-currency + auth routing premium intl,
Raena AI,Education,Medium,Global,8,170+ países: gap LPM + decline-recovery masivo,
Render,SaaS,Medium,US,8,Failover + retry en usage billing continuo,
Ripio,Fintech & Crypto,Medium,Argentina,8,Local on-ramp routing + failover,
Saily,Telco & Connectivity,Medium,Lithuania,8,Recurring-billing churn reduction + cross-border auth,
Saudia,Travel & Experiences,Enterprise,Saudi Arabia,8,mada + GCC LPM + cross-border auth routing,
SEGA,Gaming,Enterprise,Japan,8,Orquestar D2C/web billing + auth optimization,
Shangri-La,Travel & Experiences,Enterprise,Hong Kong,8,UnionPay/Alipay LPMs + multi-currency routing,
Sketchfab / Fab (Epic),Digital Products,Enterprise,US,8,Creator payouts at scale + global checkout un API,
Skinport,Digital Products,Medium,Germany,8,Multi-currency LPMs + seller payout orchestration,
SonyLIV,Media & Streaming,Enterprise,India,8,UPI/card orchestration + dunning,
Splice,Digital Products,Medium,US,8,Subscription churn/dunning + producer payouts globales,
Square Enix,Gaming,Enterprise,Japan,8,D2C store billing orchestration + LPMs,
Starbucks,Food & Delivery,Enterprise,Global,8,Global LPM + stored-value rails + auth lift,
Storytel,Media & Streaming,Enterprise,Sweden,8,Cross-market routing + dunning para cortar churn,
Subway,Food & Delivery,Enterprise,Global,8,Consolidación PSP cross-border en franquicias,
Superbet,Gaming,Enterprise,Romania,8,LatAm LPMs + cross-PSP routing regulado,
Surfshark,SaaS,Medium,Netherlands,8,Rebill auth optimization + failover + LPMs emergentes,
Sympla,Travel & Experiences,Medium,Brazil,8,"Pix + card routing, surge redundancy, LPMs",
Tiket.com,Travel & Experiences,Medium,Indonesia,8,Orquestar LPMs Indonesia + auth routing,
Todoist (Doist),SaaS,Medium,EU,8,Smart routing para cortar declines small-ticket,
Tokopedia (GoTo),Marketplace,Enterprise,Indonesia,8,LPMs Indonesia + payout orchestration + redundancia,
Trading 212,Fintech & Crypto,Enterprise,UK/Bulgaria,8,Card deposit-auth lift + PSP failover,
Truecaller,SaaS,Enterprise,Sweden,8,UPI/local rails convierte base no-card India/MENA,
TUI Group,Travel & Experiences,Enterprise,Germany,8,PSP redundancy + LPMs + supplier payouts,
TurboSquid,Digital Products,Medium,US,8,Cross-border checkout LPMs + artist payouts (3D),
TVING (CJ ENM),Media & Streaming,Enterprise,Korea,8,Cost-cut via routing + bundled billing,
U-NEXT,Media & Streaming,Enterprise,Japan,8,Japan LPM coverage + failover,
Uala,Fintech & Crypto,Enterprise,Argentina,8,LPM + card on-ramp routing 3 mercados,
Ubigi (NTT),Telco & Connectivity,Enterprise,France,8,Subscription dunning + LPMs + OEM-billing redundancy,
Ubisoft,Gaming,Enterprise,France,8,D2C checkout orchestration + LPMs + fraude,
Vestiaire Collective,Marketplace,Enterprise,France,8,Cross-border routing + payouts/escrow + LPMs,
Viaplay,Media & Streaming,Enterprise,Sweden,8,Cost reduction + cross-market PSP failover,
VNG Corporation,Gaming,Enterprise,Vietnam,8,LPM + cross-border routing fuera de VN,
Voi Technology,Mobility & Energy,Enterprise,Sweden,8,Auth optimization + PSP redundancy low-ticket,
Vultr,SaaS,Medium,US,8,Card auth optimization + redundancia (cloud dev),
Wallapop,Marketplace,Medium,Spain,8,LPMs + payout/escrow orchestration 3 mercados,
Wavve,Media & Streaming,Enterprise,Korea,8,Auth-rate + PSP cost reduction,
Wego,Travel & Experiences,Medium,UAE/SEA,8,Plug LPMs (+stablecoin) + route regional PSPs,
WeTV (Tencent),Media & Streaming,Enterprise,China,8,SEA LPM routing + IAP migration,
WhyDonate,Creator & Social,Medium,Netherlands,8,Un API LPMs + routing 117 países,
WinZO,Gaming,Medium,India,8,UPI + payouts orchestration + fraude/chargeback,
Wolt,Food & Delivery,Enterprise,Finland,8,Multi-country LPM + courier payout orchestration,
Workana,Marketplace,Medium,Argentina,8,Marketplace payouts + multi-country collection,
XTB,Fintech & Crypto,Enterprise,Poland,8,Deposit-auth routing + multi-region redundancy,
Yellow Card,Fintech & Crypto,Medium,Nigeria,8,Multi-country acquirer + LPM orchestration,
ZEE5,Media & Streaming,Enterprise,India,8,Cross-border LPMs + IAP→web,
Zomato (Eternal),Food & Delivery,Enterprise,India,8,UPI/card routing + q-commerce payouts,
Crusoe,AI,Medium,US/Global,7,Scaling cloud ARR + enterprise contracts globalizing: unified cross-border billing + redundancy,$1.37B Series E at $10B (Oct'25); cloud ARR +150% YoY
Daydream,AI,Medium,US/Global,7,"Conversational checkout across 8k brands: smart routing, redundancy, global LPMs, anti-fraud","Public-beta chat shopping agent + iPhone app (Nov'25); 8,000+ brands"
Dippy AI,AI,Medium,USA,7,IAP→web + auth intl,Activo 2026
Friend,AI,Medium,USA,7,IAP→web + billing hardware+sub orchestration,Push consumer 2025-26
Numerade,AI,Medium,Los Angeles CA,7,IAP leakage + LPM intl para subs estudiantes,Expansión AI tutor 2024; push global
OpenRouter,AI,Medium,US/Global,7,Marketplace on thin 5% of global inference spend lives/dies on auth + method coverage,"$50M ARR (Mar'26); $113M Series B at $1.3B; 1M+ devs, 5% margin"
Sesame,AI,Medium,USA,7,App IAP early → web-billing + dunning setup,Lanzó app iOS May'26
Super Teacher,AI,Medium,USA,7,Dunning sub consumer + billing family-plan,Lanzamiento Disrupt 2025
Beautiful.ai,AI,Medium,US,7,Cross-border SaaS subscription LPMs + retry logic,
Black Forest Labs (FLUX),AI,Enterprise,Germany,7,Consumption billing across regions + PSP redundancy,
Boomy,AI,Medium,US,7,Subscription collect + artist streaming payouts un stack,
CAMB.AI,AI,Medium,UAE,7,Global acquiring + MENA LPMs (mada/local cards),
Copy.ai,AI,Medium,US,7,Self-serve global subscription rails + recovery,
Creatify,AI,Medium,US,7,Credit + subscription billing global; single-PSP en growth,
DeepL,AI,Enterprise,Germany,7,Global LPMs + cross-border recurring auth,
LanguageTool,AI,Medium,Germany,7,Cross-border auth + LPMs en subs bajo ACV alto volumen,
Loudly,AI,Medium,Germany,7,EU PSP cross-border; LPMs US/LatAm/APAC + menos declines,
Magnific,AI,Medium,Spain,7,Credit-reload routing + EU/global LPMs,
NightCafe,AI,Medium,Australia,7,Credit-pack + sub billing across countries needs LPMs,
Rask AI,AI,Medium,US/CEE,7,Single-PSP bootstrapped; LPMs para compradores globales,
Recraft,AI,Medium,UK/US,7,Credit-pack + subscription billing across regions,
Spellbook,AI,Medium,Canada,7,Cross-border seat billing + failover (legal copilot),
Tabnine,AI,Medium,Israel,7,Cross-border auth en dev seats + LPMs,
1stDibs,Marketplace,Medium,New York NY,7,Auth high-ticket + LPMs/payouts dealer cross-border,"Luxury high-AOV global, compradores intl"
222,Creator & Social,Medium,Los Angeles CA,7,Smart routing + LPMs para eventos IRL de pago,Momentum IRL-social
Acely,Education,Medium,USA,7,Orquestación para college-bound global,Nuevo AI tutor ganando share 2025
Activision Blizzard,Gaming,Enterprise,US/Global,7,"Massive global microtxn across CoD/Diablo: redundancy, LPMs, post-ruling direct-billing path",Shut CoD Warzone Mobile (May'25); console/PC microtxn at scale
Airtable,SaaS,Enterprise,US/Global,7,Global freemium→paid self-serve seats: auth-rate lift + dunning on high-volume renewals,"$1.4B raised, $11.6B valuation, 500K+ orgs (Jan'26)"
Albert,Fintech & Crypto,Medium,Los Angeles CA,7,Orquestación instant-disbursement + auth de depósitos,Nueva ronda (Sep'25)
App Academy,Education,Medium,San Francisco CA,7,Orquestar PSPs installment/ISA + reducir fallos,Modelo ISA/installment 2025
Aristocrat / Product Madness,Gaming,Enterprise,US/Global,7,"Social-casino IAP + fraud w/ no orchestrator: routing, failover, future web-store migration","Top-grossing social casino; high IAP, no public D2C"
AvantStay,Travel & Experiences,Enterprise,US/Global,7,High-ticket luxury acutely auth-sensitive: smart routing + retry recover declined reservations + payouts,"~2,300 luxury properties 140+ cities; $5B+ AUM"
Avelo Airlines,Travel & Experiences,Enterprise,US/Global,7,Fast-scaling LCC w/ new Caribbean/MX: one orchestration layer vs building multi-PSP infra,Expanded to 4 intl destinations (Jamaica/MX/DR/Bahamas)
Balance (Elevate Labs),Health & Wellness,Medium,San Francisco CA,7,IAP→web; dunning en renovaciones anuales,App meditación $69.99/yr
Betr,Gaming,Medium,Miami FL,7,Routing de depósitos + redundancia,Crecimiento activo 2025-26
Bloomberg Media,Media & Streaming,Enterprise,US/Global,7,Auth-rate + retry orchestration to protect renewals through steep price increase,Raised annual digital sub 33% ($299→$399) for 2025
Branch,Fintech & Crypto,Medium,Minneapolis MN,7,Push-to-card payout routing con failover,Lanzó plataforma EWA 2025
Centr,Health & Wellness,Medium,US/Global,7,LPMs + IAP→web to defend margins as it scales globally,2025 content expansion + HYROX partnership; PE-backed ~$200M
Chalkboard Fantasy,Gaming,Medium,USA,7,Orquestación rail depósito + redundancia,Plataforma DFS en ascenso 2025-26
Clapper,Creator & Social,Medium,Dallas TX,7,Failover + LPMs para tipping/gifting en escala spiky,1.4M downloads en una semana (Ene'25)
Cleo,Fintech & Crypto,Medium,US/Global,7,Orchestrate card-funded top-ups + instant disbursements: raise auth + add redundancy across US+UK,ARR ~$300M +118% YoY; relaunched UK 2026
Coffee Meets Bagel,Creator & Social,Medium,US/Global,7,Cost-reduction routing + Asia/LatAm LPMs improve unit economics,~101 staff 6 continents; 4th highest-grossing dating in SE Asia
Copper Banking,Fintech & Crypto,Medium,Seattle WA,7,Auth de top-ups card-funded across PSPs,350K+ users
Crown Coins Casino,Gaming,Medium,USA,7,Redundancia PSP coin-purchase + chargeback,Top-3 trusted sweeps 2025-26
